# i j r_ij_x r_ij_y inverted
0 1 0.00000050 -1.00000000 0
0 2 0.00067005 -0.99999978 0
0 3 -0.00144129 -0.99999896 0
0 45 0.00144129 -0.99999896 0
0 46 -0.00067005 -0.99999978 0
0 47 -0.00000050 -1.00000000 0
0 48 1.00000000 -0.00000000 0
0 49 -0.00426140 -0.99999092 0
0 50 -0.01111531 -0.99993822 0
0 51 -0.01343587 -0.99990973 0
0 94 0.01111531 -0.99993822 0
0 95 0.00426140 -0.99999092 0
0 96 1.00000000 -0.00000000 0
0 97 0.99994332 0.01064738 0
0 98 -0.02225499 -0.99975233 0
0 142 0.02225499 -0.99975233 0
0 143 0.99994332 -0.01064738 0
0 3744 1.00000000 0.00000000 0
0 3745 0.99994332 -0.01064682 0
0 3746 0.02225557 -0.99975231 0
0 3790 -0.02225557 -0.99975231 0
0 3791 0.99994332 0.01064682 0
0 3792 1.00000000 0.00000000 0
0 3793 0.00426173 -0.99999092 0
0 3794 0.01169729 -0.99993158 0
0 3795 0.01365977 -0.99990670 0
0 3837 -0.01204824 -0.99992742 0
0 3838 -0.01169729 -0.99993158 0
0 3839 -0.00426173 -0.99999092 0
1 0 0.00000050 1.00000000 0
1 2 0.99999995 0.00032118 0
1 3 0.99999956 -0.00093729 0
1 4 1.00000000 0.00000095 0
1 46 0.99999947 -0.00102541 0
1 47 1.00000000 -0.00000133 0
1 48 -0.00600946 0.99998194 0
1 49 1.00000000 -0.00000630 0
1 50 0.99998354 -0.00573755 0
1 51 0.99995913 -0.00904140 0
1 52 0.99988935 -0.01487595 0
1 95 0.99996342 0.00855282 0
1 96 -0.01117988 0.99993750 0
1 97 -0.02049360 0.99978998 0
1 98 0.99993113 -0.01173604 0
1 99 0.99984222 -0.01776356 0
1 143 0.00070893 0.99999975 0
1 3744 0.01118053 0.99993750 0
1 3745 0.02049316 0.99978999 0
1 3746 0.99993112 0.01173668 0
1 3747 0.99984546 0.01757975 0
1 3748 0.99965646 0.02620977 0
1 3791 -0.00070754 0.99999975 0
1 3792 0.00600990 0.99998194 0
1 3793 1.00000000 0.00000631 0
1 3794 0.99998293 0.00584292 0
1 3795 0.99995812 0.00915175 0
1 3838 0.99984416 -0.01765399 0
1 3839 0.99996341 -0.00855415 0
2 0 0.00067005 0.99999978 0
2 1 0.99999995 -0.00032118 0
2 3 0.99999999 -0.00014177 0
2 4 0.99999978 0.00066184 0
2 5 0.99999824 0.00187392 0
2 47 0.99999947 -0.00102541 0
2 48 -0.01095779 0.99993996 0
2 49 0.99999346 0.00361771 0
2 50 0.99999972 -0.00074568 0
2 51 0.99998927 -0.00463173 0
2 52 0.99995412 -0.00957880 0
2 95 0.99993302 0.01157423 0
2 96 -0.02096237 0.99978027 0
2 97 -0.02932159 0.99957003 0
2 98 0.99999799 -0.00200689 0
2 99 0.99995752 -0.00921781 0
2 100 0.99982969 -0.01845487 0
2 3744 0.02229162 0.99975151 0
2 3745 0.02990170 0.99955284 0
2 3746 0.99999770 0.00214392 0
2 3747 0.99995546 0.00943797 0
2 3748 0.99983240 0.01830774 0
2 3792 0.01229387 0.99992443 0
2 3793 0.99999094 -0.00425774 0
2 3794 0.99999988 0.00048851 0
2 3795 0.99998520 0.00544146 0
2 3796 0.99994236 0.01073696 0
2 3797 0.99990437 0.01382941 0
2 3839 0.99990722 -0.01362175 0
3 0 -0.00144129 0.99999896 0
3 1 0.99999956 0.00093729 0
3 2 0.99999999 0.00014177 0
3 4 0.99999989 -0.00045882 0
3 5 0.99999990 -0.00044828 0
3 6 0.99999639 -0.00268722 0
3 48 -0.01904647 0.99981860 0
